Nome,Ruolo,Squadra,Media,FantaMedia,>= 6,MotM,Con voto,Senza voto,G,R,Reti,Rigori,Assist,Rigori sbagliati,Autogoal,Goal subiti,Rigori parati,Attivo
Wesley,Difensore,Roma,6.50,8.00,2,1,2,0,0,0,1,0,0,0,0,0,0,True
Bailey,Centrocampista,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Orban G.,Attaccante,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Vardy,Attaccante,Cremonese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Carnesecchi,Portiere,Atalanta,6.25,5.25,2,0,2,0,0,0,0,0,0,0,0,2,0,True
Ederson D.S.,Centrocampista,Atalanta,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
De Gea,Portiere,Fiorentina,6.00,6.00,1,1,2,0,0,0,0,0,0,0,0,1,0,True
Dzeko,Attaccante,Fiorentina,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Barella,Centrocampista,Inter,6.00,6.50,1,0,2,0,0,0,0,0,1,0,0,0,0,True
Cambiaso,Difensore,Juventus,4.50,3.50,0,0,1,0,0,1,0,0,0,0,0,0,0,True
Koopmeiners,Centrocampista,Juventus,6.00,5.75,2,0,2,0,1,0,0,0,0,0,0,0,0,True
Di Lorenzo,Difensore,Napoli,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Lucca,Attaccante,Napoli,5.50,5.25,0,0,2,0,1,0,0,0,0,0,0,0,0,True
Konè M.,Centrocampista,Roma,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Laurientè,Attaccante,Sassuolo,5.50,5.50,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Vlasic,Centrocampista,Torino,5.75,5.50,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Rowe,Centrocampista,Bologna,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Bellanova,Difensore,Atalanta,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Zappacosta,Difensore,Atalanta,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
